year,playerName,position,batting_order,school
2022,Sartori, Luke,CF,9,Nebraska
2022,McCarville, Dawson,P,SP,Nebraska
2022,Ernst, Marcus,SS,1,Ohio St.
2022,Dezenzo, Zach,1B,2,Ohio St.
2022,Pettorini, Tyler,2B,3,Ohio St.
2022,Kern, Kade,CF,4,Ohio St.
2022,Robinson, Blayne,DH,5,Ohio St.
2022,Bauer, Colton,3B,6,Ohio St.
2022,Lipsey, Trey,LF,7,Ohio St.
2022,Brookman, Archer,C,8,Ohio St.
2022,Okuley, Mitchell,RF,9,Ohio St.
2022,Loncar, Wyatt,P,SP,Ohio St.
2022,Matthews, Brice,SS,1,Nebraska
2022,Chick, Cam,LF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,DH,4,Nebraska
2022,Anglim, Garrett,RF,5,Nebraska
2022,Caron, Josh,C,6,Nebraska
2022,Sartori, Luke,CF,7,Nebraska
2022,Steil, Jack,1B,8,Nebraska
2022,Cervantes, Efry,2B,9,Nebraska
2022,Christo, Drew,P,SP,Nebraska
2022,Hanafan, Will,CF,1,Omaha
2022,Denk, Harrison,RF,2,Omaha
2022,Boeve, Mike,3B,3,Omaha
2022,Greise, Noah,DH,4,Omaha
2022,Satisky, Eddie,1B,5,Omaha
2022,Rosario, Eduardo,C,6,Omaha
2022,Lombardi, Jack,LF,7,Omaha
2022,Frederick, Cam,2B,8,Omaha
2022,Hurdle, Devin,SS,9,Omaha
2022,Gordon, Jackson,P,SP,Omaha
2022,Lasko, Ryan,CF,1,Rutgers
2022,Schiekofer, Richie,RF,2,Rutgers
2022,Cimillo, Nick,C,3,Rutgers
2022,DiGeorgio, Danny,SS,4,Rutgers
2022,Sleight, Evan,DH,5,Rutgers
2022,Santa Maria, Tony,3B,6,Rutgers
2022,Brito, Chris,1B,7,Rutgers
2022,Kuroda-Grauer, Joshua,2B,8,Rutgers
2022,Nyisztor, Mike,LF,9,Rutgers
2022,Kollar, Jared,P,SP,Rutgers
2022,Matthews, Brice,SS,1,Nebraska
2022,Chick, Cam,LF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,C,4,Nebraska
2022,Anglim, Garrett,RF,5,Nebraska
2022,Wimmers, Nick,DH,6,Nebraska
2022,Sartori, Luke,CF,7,Nebraska
2022,Gomes, Colby,1B,8,Nebraska
2022,Cervantes, Efry,2B,9,Nebraska
2022,Schanaman, Shay,P,SP,Nebraska
2022,Lasko, Ryan,CF,1,Rutgers
2022,DiGeorgio, Danny,SS,2,Rutgers
2022,Cimillo, Nick,C,3,Rutgers
2022,Santa Maria, Tony,2B,4,Rutgers
2022,Brito, Chris,3B,5,Rutgers
2022,Sleight, Evan,LF,6,Rutgers
2022,Nyisztor, Mike,RF,7,Rutgers
2022,Sweeney, Jordan,1B,8,Rutgers
2022,Callaghan, Garrett,DH,9,Rutgers
2022,Florence, Nathan,P,SP,Rutgers
2022,Matthews, Brice,SS,1,Nebraska
2022,Chick, Cam,CF/LF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,C,4,Nebraska
2022,Anglim, Garrett,RF,5,Nebraska
2022,Wimmers, Nick,DH,6,Nebraska
2022,Jessen, Luke,LF,7,Nebraska
2022,Gomes, Colby,1B,8,Nebraska
2022,Jackson, Core,2B,9,Nebraska
2022,Olson, Emmett,P,SP,Nebraska
2022,Lasko, Ryan,CF,1,Rutgers
2022,Sleight, Evan,LF,2,Rutgers
2022,Cimillo, Nick,C,3,Rutgers
2022,Santa Maria, Tony,3B,4,Rutgers
2022,DiGeorgio, Danny,SS,5,Rutgers
2022,Kuroda-Grauer, Joshua,2B,6,Rutgers
2022,Schiekofer, Richie,RF,7,Rutgers
2022,Brito, Chris,1B,8,Rutgers
2022,Sweeney, Jordan,DH,9,Rutgers
2022,Sinibaldi, Justin,P,SP,Rutgers
2022,Matthews, Brice,SS,1,Nebraska
2022,Chick, Cam,CF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,C,4,Nebraska
2022,Anglim, Garrett,RF,5,Nebraska
2022,Caron, Josh,DH/C,6,Nebraska
2022,Steil, Jack,1B,7,Nebraska
2022,Banjoff, Leighton,LF,8,Nebraska
2022,Cervantes, Efry,2B,9,Nebraska
2022,McCarville, Dawson,P,SP,Nebraska
2022,Watkins, Brock,SS,1,BYU
2022,Pratt, Ozzie,2B,2,BYU
2022,McIntyre, Mitch,CF,3,BYU
2022,Wilk, Jacob,1B,4,BYU
2022,Sepede, Ryan,RF,5,BYU
2022,Deming, Austin,3B,6,BYU
2022,Cowden, Joshua,DH,7,BYU
2022,Reuter, Collin,C,8,BYU
2022,Hall, Dawsen,LF,9,BYU
2022,Sterner, Jack,P,SP,BYU
2022,Chick, Cam,LF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,C,4,Nebraska
2022,Wimmers, Nick,DH,5,Nebraska
2022,Matthews, Brice,2B,6,Nebraska
2022,Jackson, Core,SS,7,Nebraska
2022,Sartori, Luke,CF,8,Nebraska
2022,Steil, Jack,1B,9,Nebraska
2022,Frank, Koty,P,SP,Nebraska
2022,Pratt, Ozzie,2B,1,BYU
2022,Watkins, Brock,SS,2,BYU
2022,McIntyre, Mitch,CF,3,BYU
2022,Sepede, Ryan,RF,4,BYU
2022,Deming, Austin,3B,5,BYU
2022,Cowden, Joshua,DH,6,BYU
2022,Sardina, Alex,1B,7,BYU
2022,Reuter, Collin,C,8,BYU
2022,Hall, Dawsen,LF,9,BYU
2022,Brady, Ryan,P,SP,BYU
2022,Chick, Cam,LF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,C,4,Nebraska
2022,Wimmers, Nick,DH,5,Nebraska
2022,Matthews, Brice,2B,6,Nebraska
2022,Jackson, Core,SS,7,Nebraska
2022,Sartori, Luke,CF,8,Nebraska
2022,Steil, Jack,1B,9,Nebraska
2022,Schanaman, Shay,P,SP,Nebraska
2022,Pratt, Ozzie,2B,1,BYU
2022,Watkins, Brock,SS,2,BYU
2022,McIntyre, Mitch,CF,3,BYU
2022,Sepede, Ryan,RF,4,BYU
2022,Deming, Austin,3B,5,BYU
2022,Leatham, Hayden,DH,6,BYU
2022,Sardina, Alex,1B,7,BYU
2022,Strong, Mason,C,8,BYU
2022,Hall, Dawsen,LF,9,BYU
2022,Robison, Bryce,P,SP,BYU
2022,Chick, Cam,CF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,DH,4,Nebraska
2022,Banjoff, Leighton,LF,5,Nebraska
2022,Cervantes, Efry,SS,6,Nebraska
2022,Caron, Josh,C,7,Nebraska
2022,Matthews, Brice,2B,8,Nebraska
2022,Steil, Jack,1B,9,Nebraska
2022,Olson, Emmett,P,SP,Nebraska
2022,Pratt, Ozzie,2B,1,BYU
2022,Watkins, Brock,SS,2,BYU
2022,McIntyre, Mitch,CF,3,BYU
2022,Sepede, Ryan,RF,4,BYU
2022,Deming, Austin,3B,5,BYU
2022,Leatham, Hayden,DH,6,BYU
2022,Sardina, Alex,1B,7,BYU
2022,Strong, Mason,C,8,BYU
2022,Hall, Dawsen,LF,9,BYU
2022,Keisel, Janzen,P,SP,BYU
2022,Chick, Cam,CF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,C,4,Nebraska
2022,Wimmers, Nick,DH,5,Nebraska
2022,Banjoff, Leighton,LF,6,Nebraska
2022,Cervantes, Efry,SS,7,Nebraska
2022,Jackson, Core,2B,8,Nebraska
2022,Steil, Jack,1B,9,Nebraska
2022,Brockett, Jackson,P,SP,Nebraska
2022,Anderson, Brock,1B,1,North Dakota St.
2022,Sackett, Druw,2B,2,North Dakota St.
2022,Brookshaw, Peter,SS,3,North Dakota St.
2022,Williams, Logan,C,4,North Dakota St.
2022,Simonsen, Jack,RF,5,North Dakota St.
2022,Hesse, Charley,3B,6,North Dakota St.
2022,Schwabe, Cadyn,LF,7,North Dakota St.
2022,Hill, Garret,DH,8,North Dakota St.
2022,Schwabe, Calen,CF,9,North Dakota St.
2022,Smith, Ben,P,SP,North Dakota St.
2022,Chick, Cam,CF/LF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,DH,4,Nebraska
2022,Banjoff, Leighton,LF,5,Nebraska
2022,Matthews, Brice,2B,6,Nebraska
2022,Cervantes, Efry,SS,7,Nebraska
2022,Caron, Josh,C,8,Nebraska
2022,Steil, Jack,1B,9,Nebraska
2022,McCarville, Dawson,P,SP,Nebraska
2022,Chick, Cam,CF/LF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Everitt, Griffin,C,3,Nebraska
2022,Anderson, Max,3B,4,Nebraska
2022,Wimmers, Nick,DH,5,Nebraska
2022,Matthews, Brice,2B/SS,6,Nebraska
2022,Banjoff, Leighton,LF/1B,7,Nebraska
2022,Cervantes, Efry,SS,8,Nebraska
2022,Steil, Jack,1B,9,Nebraska
2022,Schanaman, Shay,P,SP,Nebraska
2022,Whalen, Bobby,CF,1,Indiana
2022,Jessee, Hunter,LF,2,Indiana
2022,Pyne, Josh,3B,3,Indiana
2022,Ellis, Matthew,C,4,Indiana
2022,Tibbitts, Brock,1B,5,Indiana
2022,Mathison, Carter,DH,6,Indiana
2022,Doanes, Tyler,2B,7,Indiana
2022,Murrison, Sam,RF,8,Indiana
2022,Johnson, Max,SS,9,Indiana
2022,Perkins, Jack,P,SP,Indiana
2022,Chick, Cam,CF/LF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Everitt, Griffin,C,3,Nebraska
2022,Anderson, Max,3B,4,Nebraska
2022,Jessen, Luke,DH,5,Nebraska
2022,Matthews, Brice,SS,6,Nebraska
2022,Banjoff, Leighton,LF/1B,7,Nebraska
2022,Jackson, Core,2B,8,Nebraska
2022,Steil, Jack,1B,9,Nebraska
2022,Olson, Emmett,P,SP,Nebraska
2022,Whalen, Bobby,CF,1,Indiana
2022,Jessee, Hunter,LF,2,Indiana
2022,Pyne, Josh,3B,3,Indiana
2022,Tibbitts, Brock,1B,4,Indiana
2022,Mathison, Carter,DH,5,Indiana
2022,Ellis, Matthew,C,6,Indiana
2022,Doanes, Tyler,2B,7,Indiana
2022,Murrison, Sam,RF,8,Indiana
2022,Johnson, Max,SS,9,Indiana
2022,Brehmer, Bradley,P,SP,Indiana
2022,Chick, Cam,CF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Everitt, Griffin,C,3,Nebraska
2022,Anderson, Max,1B,4,Nebraska
2022,Banjoff, Leighton,LF,5,Nebraska
2022,Matthews, Brice,SS,6,Nebraska
2022,Swansen, Gabe,DH,7,Nebraska
2022,Jackson, Core,2B,8,Nebraska
2022,Cervantes, Efry,3B,9,Nebraska
2022,Frank, Koty,P,SP,Nebraska
2022,Whalen, Bobby,CF,1,Indiana
2022,Jessee, Hunter,LF,2,Indiana
2022,Pyne, Josh,3B,3,Indiana
2022,Tibbitts, Brock,1B,4,Indiana
2022,Mathison, Carter,DH,5,Indiana
2022,Ellis, Matthew,C,6,Indiana
2022,Doanes, Tyler,2B,7,Indiana
2022,Murrison, Sam,RF,8,Indiana
2022,Johnson, Max,SS,9,Indiana
2022,Holderfield, Grant,P,SP,Indiana
2022,Johnson, Dom,LF,1,Kansas St.
2022,Day, Brady,3B,2,Kansas St.
2022,Nicoloff, Josh,2B/1B,3,Kansas St.
2022,Phillips, Dylan,1B/P,4,Kansas St.
2022,Goodwin, Nick,SS,5,Kansas St.
2022,Heinrich, Jeff,DH,6,Kansas St.
2022,Johnson, Cole,CF,7,Kansas St.
2022,Mitchell, Justin,C,8,Kansas St.
2022,Uselton, Cameron,RF,9,Kansas St.
2022,Moore, Wesley,P,SP,Kansas St.
2022,Chick, Cam,CF/LF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Everitt, Griffin,C,3,Nebraska
2022,Anderson, Max,1B,4,Nebraska
2022,Banjoff, Leighton,LF,5,Nebraska
2022,Matthews, Brice,SS,6,Nebraska
2022,Swansen, Gabe,DH,7,Nebraska
2022,Jackson, Core,2B,8,Nebraska
2022,Cervantes, Efry,3B,9,Nebraska
2022,Brockett, Jackson,P,SP,Nebraska
2022,Denk, Harrison,LF,1,Omaha
2022,Frederick, Cam,2B,2,Omaha
2022,Boeve, Mike,3B,3,Omaha
2022,Hurdle, Devin,SS,4,Omaha
2022,Rosario, Eduardo,DH,5,Omaha
2022,Satisky, Eddie,1B,6,Omaha
2022,Baughn, Matt,C,7,Omaha
2022,Hanafan, Will,CF,8,Omaha
2022,Lombardi, Jack,RF,9,Omaha
2022,Sellers, Wyatt,P,SP,Omaha
2022,Chick, Cam,CF/LF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Everitt, Griffin,DH,3,Nebraska
2022,Anderson, Max,1B,4,Nebraska
2022,Banjoff, Leighton,LF,5,Nebraska
2022,Matthews, Brice,SS,6,Nebraska
2022,Jackson, Core,2B,7,Nebraska
2022,Caron, Josh,C,8,Nebraska
2022,Cervantes, Efry,3B,9,Nebraska
2022,McCarville, Dawson,P,SP,Nebraska
2022,Seegers, Michael,SS,1,Iowa
2022,Williams, Peyton,1B,2,Iowa
2022,Anthony, Keaton,DH,3,Iowa
2022,Mulflur, Will,RF,4,Iowa
2022,Fullard, Izaya,2B,5,Iowa
2022,Sher, Brendan,3B,6,Iowa
2022,Tallman, Ben,C,7,Iowa
2022,Petersen, Sam,LF,8,Iowa
2022,Huckstorf, Kyle,CF,9,Iowa
2022,Mazur, Adam,P,SP,Iowa
2022,Chick, Cam,CF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Everitt, Griffin,C,3,Nebraska
2022,Anderson, Max,1B/3B,4,Nebraska
2022,Banjoff, Leighton,LF,5,Nebraska
2022,Matthews, Brice,SS,6,Nebraska
2022,Jackson, Core,2B,7,Nebraska
2022,Swansen, Gabe,DH,8,Nebraska
2022,Cervantes, Efry,3B,9,Nebraska
2022,Schanaman, Shay,P,SP,Nebraska
2022,Seegers, Michael,SS,1,Iowa
2022,Williams, Peyton,1B,2,Iowa
2022,Anthony, Keaton,DH,3,Iowa
2022,Mulflur, Will,RF,4,Iowa
2022,Fullard, Izaya,2B,5,Iowa
2022,Sher, Brendan,3B,6,Iowa
2022,Tallman, Ben,C,7,Iowa
2022,Petersen, Sam,LF,8,Iowa
2022,Huckstorf, Kyle,CF,9,Iowa
2022,Schultz, Connor,P,SP,Iowa
2022,Chick, Cam,CF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Everitt, Griffin,C,3,Nebraska
2022,Anderson, Max,1B,4,Nebraska
2022,Banjoff, Leighton,LF,5,Nebraska
2022,Matthews, Brice,SS,6,Nebraska
2022,Jackson, Core,2B,7,Nebraska
2022,Swansen, Gabe,DH,8,Nebraska
2022,Cervantes, Efry,3B,9,Nebraska
2022,Olson, Emmett,P,SP,Nebraska
2022,Seegers, Michael,SS,1,Iowa
2022,Williams, Peyton,1B,2,Iowa
2022,Anthony, Keaton,DH,3,Iowa
2022,Mulflur, Will,RF,4,Iowa
2022,Fullard, Izaya,2B,5,Iowa
2022,Sher, Brendan,3B,6,Iowa
2022,Petersen, Sam,LF/CF,7,Iowa
2022,Tallman, Ben,C,8,Iowa
2022,Huckstorf, Kyle,CF,9,Iowa
2022,Langenberg, Ty,P,SP,Iowa
2022,Chick, Cam,CF/LF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Everitt, Griffin,C,3,Nebraska
2022,Anderson, Max,1B/3B,4,Nebraska
2022,Banjoff, Leighton,LF,5,Nebraska
2022,Matthews, Brice,SS,6,Nebraska
2022,Jackson, Core,2B,7,Nebraska
2022,Swansen, Gabe,DH,8,Nebraska
2022,Cervantes, Efry,3B,9,Nebraska
2022,Frank, Koty,P,SP,Nebraska
2022,Chick, Cam,2B,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Everitt, Griffin,C,3,Nebraska
2022,Anderson, Max,1B,4,Nebraska
2022,Banjoff, Leighton,LF,5,Nebraska
2022,Jackson, Core,SS,6,Nebraska
2022,Gomes, Colby,DH,7,Nebraska
2022,Sartori, Luke,CF,8,Nebraska
2022,Cervantes, Efry,3B,9,Nebraska
2022,Schanaman, Shay,P,SP,Nebraska
2022,Bateman, Brett,CF,1,Minnesota
2022,Merila, Boston,LF,2,Minnesota
2022,Kelly, Jack,3B/RF,3,Minnesota
2022,Stanke, Chase,C,4,Minnesota
2022,Swenson, Riley,DH,5,Minnesota
2022,Counsell, Brady,2B,6,Minnesota
2022,Sweeny, Ronald,1B,7,Minnesota
2022,Berghammer, Noah,SS,8,Minnesota
2022,Wilhite, Andrew,RF,9,Minnesota
2022,Ireland, Sam,P,SP,Minnesota
2022,Chick, Cam,LF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Everitt, Griffin,C,3,Nebraska
2022,Anderson, Max,2B,4,Nebraska
2022,Banjoff, Leighton,DH,5,Nebraska
2022,Jackson, Core,SS,6,Nebraska
2022,Gomes, Colby,1B,7,Nebraska
2022,Sartori, Luke,CF,8,Nebraska
2022,Cervantes, Efry,3B,9,Nebraska
2022,Olson, Emmett,P,SP,Nebraska
2022,Bateman, Brett,CF,1,Minnesota
2022,Merila, Boston,LF,2,Minnesota
2022,Kelly, Jack,3B/RF,3,Minnesota
2022,Swenson, Riley,DH,4,Minnesota
2022,Berghammer, Noah,SS,5,Minnesota
2022,Stanke, Chase,C,6,Minnesota
2022,Bork, Kyle,1B/3B,7,Minnesota
2022,Stahl, Drew,2B,8,Minnesota
2022,Wilhite, Andrew,RF,9,Minnesota
2022,Massey, J.P.,P,SP,Minnesota
2022,Chick, Cam,CF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Everitt, Griffin,C,3,Nebraska
2022,Anderson, Max,2B,4,Nebraska
2022,Banjoff, Leighton,LF,5,Nebraska
2022,Gomes, Colby,1B,6,Nebraska
2022,Jackson, Core,SS,7,Nebraska
2022,Swansen, Gabe,DH,8,Nebraska
2022,Cervantes, Efry,3B,9,Nebraska
2022,Brockett, Jackson,P,SP,Nebraska
2022,Bateman, Brett,CF,1,Minnesota
2022,Merila, Boston,LF,2,Minnesota
2022,Kelly, Jack,3B,3,Minnesota
2022,Swenson, Riley,DH,4,Minnesota
2022,Stanke, Chase,C,5,Minnesota
2022,Stahl, Drew,2B,6,Minnesota
2022,Bork, Kyle,1B,7,Minnesota
2022,Berghammer, Noah,SS,8,Minnesota
2022,Wilhite, Andrew,RF,9,Minnesota
2022,Maldonado, Aidan,P,SP,Minnesota
2022,Chick, Cam,CF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Everitt, Griffin,C,3,Nebraska
2022,Anderson, Max,2B,4,Nebraska
2022,Banjoff, Leighton,LF,5,Nebraska
2022,Gomes, Colby,1B,6,Nebraska
2022,Jackson, Core,SS,7,Nebraska
2022,Caron, Josh,DH,8,Nebraska
2022,Cervantes, Efry,3B,9,Nebraska
2022,Schanaman, Shay,P,SP,Nebraska
2022,Doligale, Danny,RF,1,Illinois
2022,Comia, Branden,3B,2,Illinois
2022,Janas, Justin,1B,3,Illinois
2022,Campbell, Jacob,C,4,Illinois
2022,McDonald, Cam,LF,5,Illinois
2022,Sarver, Kellen,DH,6,Illinois
2022,Jackson, Taylor,CF,7,Illinois
2022,Harding, Brody,2B,8,Illinois
2022,Hejza, Cal,SS,9,Illinois
2022,Kirschsieper, Cole,P,SP,Illinois
2022,Chick, Cam,CF/LF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Everitt, Griffin,DH,3,Nebraska
2022,Anderson, Max,2B,4,Nebraska
2022,Banjoff, Leighton,LF,5,Nebraska
2022,Gomes, Colby,1B,6,Nebraska
2022,Jackson, Core,SS,7,Nebraska
2022,Caron, Josh,C,8,Nebraska
2022,Cervantes, Efry,3B,9,Nebraska
2022,Olson, Emmett,P,SP,Nebraska
2022,Jackson, Taylor,CF,1,Illinois
2022,Comia, Branden,3B,2,Illinois
2022,Janas, Justin,1B,3,Illinois
2022,Campbell, Jacob,C,4,Illinois
2022,McDonald, Cam,RF,5,Illinois
2022,Hampe, Ryan,DH,6,Illinois
2022,Moerman, Ryan,LF,7,Illinois
2022,Harding, Brody,2B,8,Illinois
2022,Hejza, Cal,SS,9,Illinois
2022,Gowens, Riley,P,SP,Illinois
2022,Chick, Cam,CF/LF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Everitt, Griffin,DH,3,Nebraska
2022,Anderson, Max,2B/3B,4,Nebraska
2022,Banjoff, Leighton,LF,5,Nebraska
2022,Gomes, Colby,1B,6,Nebraska
2022,Jackson, Core,SS,7,Nebraska
2022,Caron, Josh,C,8,Nebraska
2022,Cervantes, Efry,3B,9,Nebraska
2022,Brockett, Jackson,P,SP,Nebraska
2022,Jackson, Taylor,CF,1,Illinois
2022,Comia, Branden,3B,2,Illinois
2022,Janas, Justin,1B,3,Illinois
2022,Campbell, Jacob,C,4,Illinois
2022,McDonald, Cam,RF,5,Illinois
2022,Hampe, Ryan,DH,6,Illinois
2022,Moerman, Ryan,LF,7,Illinois
2022,Harding, Brody,2B,8,Illinois
2022,Hejza, Cal,SS,9,Illinois
2022,Rybarczyk, Ty,P,SP,Illinois
2022,McMurray, Jake,1B,1,Oral Roberts
2022,McCroskey, Mac,2B,2,Oral Roberts
2022,Denny, Caleb,RF,3,Oral Roberts
2022,Loftin, Jackson,SS,4,Oral Roberts
2022,Quinn, Justin,DH,5,Oral Roberts
2022,Breeze, Holden,3B,6,Oral Roberts
2022,Cox, Joshua,LF,7,Oral Roberts
2022,Beichler, Connor,CF,8,Oral Roberts
2022,Jones, Alec,C,9,Oral Roberts
2022,Archambo, AJ,P,SP,Oral Roberts
2022,Chick, Cam,CF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Everitt, Griffin,DH,3,Nebraska
2022,Anderson, Max,2B,4,Nebraska
2022,Gomes, Colby,1B,5,Nebraska
2022,Banjoff, Leighton,LF,6,Nebraska
2022,Jackson, Core,SS,7,Nebraska
2022,Caron, Josh,C,8,Nebraska
2022,Cervantes, Efry,3B,9,Nebraska
2022,McCarville, Dawson,P,SP,Nebraska
2022,Jebb, Mitch,SS,1,Michigan St.
2022,Farquhar, Trent,2B,2,Michigan St.
2022,Mayes, Casey,LF,3,Michigan St.
2022,Broecker, Bryan,C,4,Michigan St.
2022,Frank, Jack,RF,5,Michigan St.
2022,Kark, Dillon,3B,6,Michigan St.
2022,Vradenburg, Brock,1B,7,Michigan St.
2022,Walker, Zaid,DH,8,Michigan St.
2022,Ahn, Peter,CF,9,Michigan St.
2022,Tomasic, Conner,P,SP,Michigan St.
2022,Chick, Cam,CF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Everitt, Griffin,DH,3,Nebraska
2022,Anderson, Max,2B/3B,4,Nebraska
2022,Gomes, Colby,1B,5,Nebraska
2022,Banjoff, Leighton,LF,6,Nebraska
2022,Matthews, Brice,SS,7,Nebraska
2022,Caron, Josh,C,8,Nebraska
2022,Cervantes, Efry,3B,9,Nebraska
2022,Brockett, Jackson,P,SP,Nebraska
2022,Jebb, Mitch,SS,1,Michigan St.
2022,Farquhar, Trent,2B,2,Michigan St.
2022,Mayes, Casey,LF,3,Michigan St.
2022,Broecker, Bryan,C,4,Michigan St.
2022,Frank, Jack,RF,5,Michigan St.
2022,Kark, Dillon,3B,6,Michigan St.
2022,Vradenburg, Brock,1B,7,Michigan St.
2022,Walker, Zaid,DH,8,Michigan St.
2022,Ahn, Peter,CF,9,Michigan St.
2022,Cook, Harrison,P,SP,Michigan St.
2022,Chick, Cam,CF/LF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Everitt, Griffin,C,3,Nebraska
2022,Anderson, Max,2B,4,Nebraska
2022,Gomes, Colby,1B,5,Nebraska
2022,Banjoff, Leighton,LF,6,Nebraska
2022,Matthews, Brice,SS,7,Nebraska
2022,Jessen, Luke,DH,8,Nebraska
2022,Cervantes, Efry,3B,9,Nebraska
2022,Olson, Emmett,P,SP,Nebraska
2022,Jebb, Mitch,SS,1,Michigan St.
2022,Farquhar, Trent,2B,2,Michigan St.
2022,Mayes, Casey,LF,3,Michigan St.
2022,Frank, Jack,RF,4,Michigan St.
2022,Vradenburg, Brock,1B,5,Michigan St.
2022,Kark, Dillon,3B,6,Michigan St.
2022,Ahn, Peter,CF,7,Michigan St.
2022,Broecker, Bryan,C,8,Michigan St.
2022,Iverson, Zach,DH,9,Michigan St.
2022,Szczepaniak, Ryan,P,SP,Michigan St.
2022,Chick, Cam,CF,1,Nebraska
2022,Anglim, Garrett,RF,2,Nebraska
2022,Everitt, Griffin,C,3,Nebraska
2022,Anderson, Max,2B,4,Nebraska
2022,Gomes, Colby,1B,5,Nebraska
2022,Banjoff, Leighton,LF,6,Nebraska
2022,Matthews, Brice,SS,7,Nebraska
2022,Jessen, Luke,DH,8,Nebraska
2022,Cervantes, Efry,3B,9,Nebraska
2022,Ornelas, Mason,P,SP,Nebraska
